"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yn"
"21","7.1","2",0.107142857142857,"n",0.101694915254237,0.450307661929772,12.1,0,59,0.0297619064724158,0.1
"22","8.5","2",0.107142857142857,"n",0.101694915254237,0.455501652268163,13.5,0,59,0.0377600704608361,0.1
"23","10","2",0.107142857142857,"n",0.101694915254237,0.460625206082769,15,0,59,0.0486772392695035,0.1
"24","11.4","2",0.107142857142857,"n",0.101694915254237,0.465100020391263,17.1,0,59,0.0643561805754408,0.1
"25","12.8","2",0.107142857142857,"n",0.101694915254237,0.468604924218543,18.8,0,59,0.0803410531398484,0.1
"26","14.3","2",0.107142857142857,"n",0.101694915254237,0.471615640701588,20.3,0,59,0.0984332171188115,0.1
"27","15.7","2",0.107142857142857,"n",0.101694915254237,0.474399138243257,21.6,0,59,0.116103629667736,0.1
"28","17.1","2",0.125,"n",0.11864406779661,0.47775151328018,23.2,0,59,0.135910183363412,0.1
"29","18.6","2",0.125,"n",0.11864406779661,0.480740779436668,24.4,0,59,0.154429679486342,0.1
"30","20","2",0.125,"n",0.11864406779661,0.483155241962496,25.2,0,59,0.16845380477127,0.1
"31","7.1","0",0,"a",0,0.450307661929772,12.1,0,59,0.0297619064724158,0.1
"32","8.5","0",0,"a",0,0.455501652268163,13.5,0,59,0.0377600704608361,0.1
"33","10","0",0,"a",0,0.460625206082769,15,0,59,0.0486772392695035,0.1
"34","11.4","0",0,"a",0,0.465100020391263,17.1,0,59,0.0643561805754408,0.1
"35","12.8","0",0,"a",0,0.468604924218543,18.8,0,59,0.0803410531398484,0.1
"36","14.3","0",0,"a",0,0.471615640701588,20.3,0,59,0.0984332171188115,0.1
"37","15.7","0",0,"a",0,0.474399138243257,21.6,0,59,0.116103629667736,0.1
"38","17.1","0",0,"a",0,0.47775151328018,23.2,0,59,0.135910183363412,0.1
"39","18.6","0",0,"a",0,0.480740779436668,24.4,0,59,0.154429679486342,0.1
"40","20","0",0,"a",0,0.483155241962496,25.2,0,59,0.16845380477127,0.1
"41","7.1","1",0,"a",0,0.450307661929772,12.1,0,59,0.0297619064724158,0.1
"42","8.5","1",0,"a",0,0.455501652268163,13.5,0,59,0.0377600704608361,0.1
"43","10","1",0,"a",0,0.460625206082769,15,0,59,0.0486772392695035,0.1
"44","11.4","1",0,"a",0,0.465100020391263,17.1,0,59,0.0643561805754408,0.1
"45","12.8","1",0,"a",0,0.468604924218543,18.8,0,59,0.0803410531398484,0.1
"46","14.3","1",0,"a",0,0.471615640701588,20.3,0,59,0.0984332171188115,0.1
"47","15.7","1",0,"a",0,0.474399138243257,21.6,0,59,0.116103629667736,0.1
"48","17.1","1",0,"a",0,0.47775151328018,23.2,0,59,0.135910183363412,0.1
"49","18.6","1",0,"a",0,0.480740779436668,24.4,0,59,0.154429679486342,0.1
"50","20","1",0,"a",0,0.483155241962496,25.2,0,59,0.16845380477127,0.1
"51","7.1","2",1,"a",0.0508474576271186,0.450307661929772,12.1,0,59,0.0297619064724158,0.1
"52","8.5","2",1,"a",0.0508474576271186,0.455501652268163,13.5,0,59,0.0377600704608361,0.1
"53","10","2",1,"a",0.0508474576271186,0.460625206082769,15,0,59,0.0486772392695035,0.1
"54","11.4","2",1,"a",0.0508474576271186,0.465100020391263,17.1,0,59,0.0643561805754408,0.1
"55","12.8","2",1,"a",0.0508474576271186,0.468604924218543,18.8,0,59,0.0803410531398484,0.1
"56","14.3","2",1,"a",0.0508474576271186,0.471615640701588,20.3,0,59,0.0984332171188115,0.1
"57","15.7","2",1,"a",0.0508474576271186,0.474399138243257,21.6,0,59,0.116103629667736,0.1
"58","17.1","2",1,"a",0.0508474576271186,0.47775151328018,23.2,0,59,0.135910183363412,0.1
"59","18.6","2",1,"a",0.0508474576271186,0.480740779436668,24.4,0,59,0.154429679486342,0.1
"60","20","2",1,"a",0.0508474576271186,0.483155241962496,25.2,0,59,0.16845380477127,0.1
"61","7.1","0",0.767857142857143,"n",0.728813559322034,0.164316326182306,11.9,0,59,0.0296650033088746,0.3
"62","8.5","0",0.767857142857143,"n",0.728813559322034,0.168807224114895,13.3,0,59,0.0376267994934247,0.3
"63","10","0",0.767857142857143,"n",0.728813559322034,0.174879018162636,15,0,59,0.0486772392695035,0.3
"64","11.4","0",0.767857142857143,"n",0.728813559322034,0.179025362439724,17.1,0,59,0.0643561805754408,0.3
"65","12.8","0",0.767857142857143,"n",0.728813559322034,0.182303810553075,18.8,0,59,0.0803410531398484,0.3
"66","14.3","0",0.767857142857143,"n",0.728813559322034,0.185098528777286,20.3,0,59,0.0984332171188115,0.3
"67","15.7","0",0.767857142857143,"n",0.728813559322034,0.187742910405284,21.6,0,59,0.116103629667736,0.3
"68","17.1","0",0.785714285714286,"n",0.745762711864407,0.191222177666036,23.2,0,59,0.135910183363412,0.3
"69","18.6","0",0.785714285714286,"n",0.745762711864407,0.193982626336382,24.4,0,59,0.154429679486342,0.3
"70","20","0",0.785714285714286,"n",0.745762711864407,0.19602037787109,25.2,0,59,0.16845380477127,0.3
"71","7.1","1",0.107142857142857,"n",0.101694915254237,0.164316326182306,11.9,0,59,0.0296650033088746,0.3
"72","8.5","1",0.107142857142857,"n",0.101694915254237,0.168807224114895,13.3,0,59,0.0376267994934247,0.3
"73","10","1",0.125,"n",0.11864406779661,0.174879018162636,15,0,59,0.0486772392695035,0.3
"74","11.4","1",0.125,"n",0.11864406779661,0.179025362439724,17.1,0,59,0.0643561805754408,0.3
"75","12.8","1",0.125,"n",0.11864406779661,0.182303810553075,18.8,0,59,0.0803410531398484,0.3
"76","14.3","1",0.125,"n",0.11864406779661,0.185098528777286,20.3,0,59,0.0984332171188115,0.3
"77","15.7","1",0.125,"n",0.11864406779661,0.187742910405284,21.6,0,59,0.116103629667736,0.3
"78","17.1","1",0.0892857142857143,"n",0.0847457627118644,0.191222177666036,23.2,0,59,0.135910183363412,0.3
"79","18.6","1",0.0892857142857143,"n",0.0847457627118644,0.193982626336382,24.4,0,59,0.154429679486342,0.3
"80","20","1",0.0892857142857143,"n",0.0847457627118644,0.19602037787109,25.2,0,59,0.16845380477127,0.3
"81","7.1","2",0.125,"n",0.11864406779661,0.164316326182306,11.9,0,59,0.0296650033088746,0.3
"82","8.5","2",0.125,"n",0.11864406779661,0.168807224114895,13.3,0,59,0.0376267994934247,0.3
"83","10","2",0.107142857142857,"n",0.101694915254237,0.174879018162636,15,0,59,0.0486772392695035,0.3
"84","11.4","2",0.107142857142857,"n",0.101694915254237,0.179025362439724,17.1,0,59,0.0643561805754408,0.3
"85","12.8","2",0.107142857142857,"n",0.101694915254237,0.182303810553075,18.8,0,59,0.0803410531398484,0.3
"86","14.3","2",0.107142857142857,"n",0.101694915254237,0.185098528777286,20.3,0,59,0.0984332171188115,0.3
"87","15.7","2",0.107142857142857,"n",0.101694915254237,0.187742910405284,21.6,0,59,0.116103629667736,0.3
"88","17.1","2",0.125,"n",0.11864406779661,0.191222177666036,23.2,0,59,0.135910183363412,0.3
"89","18.6","2",0.125,"n",0.11864406779661,0.193982626336382,24.4,0,59,0.154429679486342,0.3
"90","20","2",0.125,"n",0.11864406779661,0.19602037787109,25.2,0,59,0.16845380477127,0.3
"91","7.1","0",0,"a",0,0.164316326182306,11.9,0,59,0.0296650033088746,0.3
"92","8.5","0",0,"a",0,0.168807224114895,13.3,0,59,0.0376267994934247,0.3
"93","10","0",0,"a",0,0.174879018162636,15,0,59,0.0486772392695035,0.3
"94","11.4","0",0,"a",0,0.179025362439724,17.1,0,59,0.0643561805754408,0.3
"95","12.8","0",0,"a",0,0.182303810553075,18.8,0,59,0.0803410531398484,0.3
"96","14.3","0",0,"a",0,0.185098528777286,20.3,0,59,0.0984332171188115,0.3
"97","15.7","0",0,"a",0,0.187742910405284,21.6,0,59,0.116103629667736,0.3
"98","17.1","0",0,"a",0,0.191222177666036,23.2,0,59,0.135910183363412,0.3
"99","18.6","0",0,"a",0,0.193982626336382,24.4,0,59,0.154429679486342,0.3
"100","20","0",0,"a",0,0.19602037787109,25.2,0,59,0.16845380477127,0.3
"101","7.1","1",0.333333333333333,"a",0.0169491525423729,0.164316326182306,11.9,0,59,0.0296650033088746,0.3
"102","8.5","1",0.333333333333333,"a",0.0169491525423729,0.168807224114895,13.3,0,59,0.0376267994934247,0.3
"103","10","1",0,"a",0,0.174879018162636,15,0,59,0.0486772392695035,0.3
"104","11.4","1",0,"a",0,0.179025362439724,17.1,0,59,0.0643561805754408,0.3
"105","12.8","1",0,"a",0,0.182303810553075,18.8,0,59,0.0803410531398484,0.3
"106","14.3","1",0,"a",0,0.185098528777286,20.3,0,59,0.0984332171188115,0.3
"107","15.7","1",0,"a",0,0.187742910405284,21.6,0,59,0.116103629667736,0.3
"108","17.1","1",0,"a",0,0.191222177666036,23.2,0,59,0.135910183363412,0.3
"109","18.6","1",0,"a",0,0.193982626336382,24.4,0,59,0.154429679486342,0.3
"110","20","1",0,"a",0,0.19602037787109,25.2,0,59,0.16845380477127,0.3
"111","7.1","2",0.666666666666667,"a",0.0338983050847458,0.164316326182306,11.9,0,59,0.0296650033088746,0.3
"112","8.5","2",0.666666666666667,"a",0.0338983050847458,0.168807224114895,13.3,0,59,0.0376267994934247,0.3
"113","10","2",1,"a",0.0508474576271186,0.174879018162636,15,0,59,0.0486772392695035,0.3
"114","11.4","2",1,"a",0.0508474576271186,0.179025362439724,17.1,0,59,0.0643561805754408,0.3
"115","12.8","2",1,"a",0.0508474576271186,0.182303810553075,18.8,0,59,0.0803410531398484,0.3
"116","14.3","2",1,"a",0.0508474576271186,0.185098528777286,20.3,0,59,0.0984332171188115,0.3
"117","15.7","2",1,"a",0.0508474576271186,0.187742910405284,21.6,0,59,0.116103629667736,0.3
"118","17.1","2",1,"a",0.0508474576271186,0.191222177666036,23.2,0,59,0.135910183363412,0.3
"119","18.6","2",1,"a",0.0508474576271186,0.193982626336382,24.4,0,59,0.154429679486342,0.3
"120","20","2",1,"a",0.0508474576271186,0.19602037787109,25.2,0,59,0.16845380477127,0.3
"121","7.1","0",0.785714285714286,"n",0.745762711864407,0.0613396146512482,11.8,0,59,0.0294004791312352,0.5
"122","8.5","0",0.767857142857143,"n",0.728813559322034,0.0632476160841001,13.3,0,59,0.0376267994934247,0.5
"123","10","0",0.785714285714286,"n",0.745762711864407,0.0671635241905844,14.9,0,59,0.0482766371610033,0.5
"124","11.4","0",0.785714285714286,"n",0.745762711864407,0.0697012740150973,17,0,59,0.0638632510449951,0.5
"125","12.8","0",0.767857142857143,"n",0.728813559322034,0.0709225994532485,18.8,0,59,0.0803410531398484,0.5
"126","14.3","0",0.767857142857143,"n",0.728813559322034,0.0726470082810393,20.3,0,59,0.0984332171188115,0.5
"127","15.7","0",0.767857142857143,"n",0.728813559322034,0.0742990397030881,21.6,0,59,0.116103629667736,0.5
"128","17.1","0",0.785714285714286,"n",0.745762711864407,0.0769331978945597,23.1,0,59,0.13522132322555,0.5
"129","18.6","0",0.785714285714286,"n",0.745762711864407,0.0782734915154365,24.4,0,59,0.154429679486342,0.5
"130","20","0",0.785714285714286,"n",0.745762711864407,0.0814289855006304,24.7,0,59,0.165163063010278,0.5
"131","7.1","1",0.0714285714285714,"n",0.0677966101694915,0.0613396146512482,11.8,0,59,0.0294004791312352,0.5
"132","8.5","1",0.107142857142857,"n",0.101694915254237,0.0632476160841001,13.3,0,59,0.0376267994934247,0.5
"133","10","1",0.0892857142857143,"n",0.0847457627118644,0.0671635241905844,14.9,0,59,0.0482766371610033,0.5
"134","11.4","1",0.0892857142857143,"n",0.0847457627118644,0.0697012740150973,17,0,59,0.0638632510449951,0.5
"135","12.8","1",0.125,"n",0.11864406779661,0.0709225994532485,18.8,0,59,0.0803410531398484,0.5
"136","14.3","1",0.125,"n",0.11864406779661,0.0726470082810393,20.3,0,59,0.0984332171188115,0.5
"137","15.7","1",0.125,"n",0.11864406779661,0.0742990397030881,21.6,0,59,0.116103629667736,0.5
"138","17.1","1",0.0892857142857143,"n",0.0847457627118644,0.0769331978945597,23.1,0,59,0.13522132322555,0.5
"139","18.6","1",0.0892857142857143,"n",0.0847457627118644,0.0782734915154365,24.4,0,59,0.154429679486342,0.5
"140","20","1",0.0892857142857143,"n",0.0847457627118644,0.0814289855006304,24.7,0,59,0.165163063010278,0.5
"141","7.1","2",0.142857142857143,"n",0.135593220338983,0.0613396146512482,11.8,0,59,0.0294004791312352,0.5
"142","8.5","2",0.125,"n",0.11864406779661,0.0632476160841001,13.3,0,59,0.0376267994934247,0.5
"143","10","2",0.125,"n",0.11864406779661,0.0671635241905844,14.9,0,59,0.0482766371610033,0.5
"144","11.4","2",0.125,"n",0.11864406779661,0.0697012740150973,17,0,59,0.0638632510449951,0.5
"145","12.8","2",0.107142857142857,"n",0.101694915254237,0.0709225994532485,18.8,0,59,0.0803410531398484,0.5
"146","14.3","2",0.107142857142857,"n",0.101694915254237,0.0726470082810393,20.3,0,59,0.0984332171188115,0.5
"147","15.7","2",0.107142857142857,"n",0.101694915254237,0.0742990397030881,21.6,0,59,0.116103629667736,0.5
"148","17.1","2",0.125,"n",0.11864406779661,0.0769331978945597,23.1,0,59,0.13522132322555,0.5
"149","18.6","2",0.125,"n",0.11864406779661,0.0782734915154365,24.4,0,59,0.154429679486342,0.5
"150","20","2",0.125,"n",0.11864406779661,0.0814289855006304,24.7,0,59,0.165163063010278,0.5
"151","7.1","0",0,"a",0,0.0613396146512482,11.8,0,59,0.0294004791312352,0.5
"152","8.5","0",0,"a",0,0.0632476160841001,13.3,0,59,0.0376267994934247,0.5
"153","10","0",0,"a",0,0.0671635241905844,14.9,0,59,0.0482766371610033,0.5
"154","11.4","0",0,"a",0,0.0697012740150973,17,0,59,0.0638632510449951,0.5
"155","12.8","0",0,"a",0,0.0709225994532485,18.8,0,59,0.0803410531398484,0.5
"156","14.3","0",0,"a",0,0.0726470082810393,20.3,0,59,0.0984332171188115,0.5
"157","15.7","0",0,"a",0,0.0742990397030881,21.6,0,59,0.116103629667736,0.5
"158","17.1","0",0,"a",0,0.0769331978945597,23.1,0,59,0.13522132322555,0.5
"159","18.6","0",0,"a",0,0.0782734915154365,24.4,0,59,0.154429679486342,0.5
"160","20","0",0,"a",0,0.0814289855006304,24.7,0,59,0.165163063010278,0.5
"161","7.1","1",0.333333333333333,"a",0.0169491525423729,0.0613396146512482,11.8,0,59,0.0294004791312352,0.5
"162","8.5","1",0.333333333333333,"a",0.0169491525423729,0.0632476160841001,13.3,0,59,0.0376267994934247,0.5
"163","10","1",0,"a",0,0.0671635241905844,14.9,0,59,0.0482766371610033,0.5
"164","11.4","1",0,"a",0,0.0697012740150973,17,0,59,0.0638632510449951,0.5
"165","12.8","1",0,"a",0,0.0709225994532485,18.8,0,59,0.0803410531398484,0.5
"166","14.3","1",0,"a",0,0.0726470082810393,20.3,0,59,0.0984332171188115,0.5
"167","15.7","1",0,"a",0,0.0742990397030881,21.6,0,59,0.116103629667736,0.5
"168","17.1","1",0,"a",0,0.0769331978945597,23.1,0,59,0.13522132322555,0.5
"169","18.6","1",0,"a",0,0.0782734915154365,24.4,0,59,0.154429679486342,0.5
"170","20","1",0,"a",0,0.0814289855006304,24.7,0,59,0.165163063010278,0.5
"171","7.1","2",0.666666666666667,"a",0.0338983050847458,0.0613396146512482,11.8,0,59,0.0294004791312352,0.5
"172","8.5","2",0.666666666666667,"a",0.0338983050847458,0.0632476160841001,13.3,0,59,0.0376267994934247,0.5
"173","10","2",1,"a",0.0508474576271186,0.0671635241905844,14.9,0,59,0.0482766371610033,0.5
"174","11.4","2",1,"a",0.0508474576271186,0.0697012740150973,17,0,59,0.0638632510449951,0.5
"175","12.8","2",1,"a",0.0508474576271186,0.0709225994532485,18.8,0,59,0.0803410531398484,0.5
"176","14.3","2",1,"a",0.0508474576271186,0.0726470082810393,20.3,0,59,0.0984332171188115,0.5
"177","15.7","2",1,"a",0.0508474576271186,0.0742990397030881,21.6,0,59,0.116103629667736,0.5
"178","17.1","2",1,"a",0.0508474576271186,0.0769331978945597,23.1,0,59,0.13522132322555,0.5
"179","18.6","2",1,"a",0.0508474576271186,0.0782734915154365,24.4,0,59,0.154429679486342,0.5
"180","20","2",1,"a",0.0508474576271186,0.0814289855006304,24.7,0,59,0.165163063010278,0.5
"181","7.1","0",0.785714285714286,"n",0.745762711864407,0.0227375362002945,11.8,0,59,0.0294004791312352,0.7
"182","8.5","0",0.785714285714286,"n",0.745762711864407,0.0241515534266627,13.1,0,59,0.0369805814277929,0.7
"183","10","0",0.785714285714286,"n",0.745762711864407,0.0256178335639408,14.9,0,59,0.0482766371610033,0.7
"184","11.4","0",0.785714285714286,"n",0.745762711864407,0.0269530343797795,17,0,59,0.0638632510449951,0.7
"185","12.8","0",0.767857142857143,"n",0.728813559322034,0.0275913876838109,18.8,0,59,0.0803410531398484,0.7
"186","14.3","0",0.767857142857143,"n",0.728813559322034,0.0286987968668282,20.2,0,59,0.0978008095502685,0.7
"187","15.7","0",0.785714285714286,"n",0.745762711864407,0.0299923851564722,21.3,0,59,0.114091832076749,0.7
"188","17.1","0",0.785714285714286,"n",0.745762711864407,0.0310732717479978,22.7,0,59,0.132907539610102,0.7
"189","18.6","0",0.785714285714286,"n",0.745762711864407,0.0319479910774679,24.2,0,59,0.153070484815024,0.7
"190","20","0",0.785714285714286,"n",0.745762711864407,0.0332834484186937,24.7,0,59,0.165163063010278,0.7
"191","7.1","1",0.0714285714285714,"n",0.0677966101694915,0.0227375362002945,11.8,0,59,0.0294004791312352,0.7
"192","8.5","1",0.0714285714285714,"n",0.0677966101694915,0.0241515534266627,13.1,0,59,0.0369805814277929,0.7
"193","10","1",0.0892857142857143,"n",0.0847457627118644,0.0256178335639408,14.9,0,59,0.0482766371610033,0.7
"194","11.4","1",0.0892857142857143,"n",0.0847457627118644,0.0269530343797795,17,0,59,0.0638632510449951,0.7
"195","12.8","1",0.125,"n",0.11864406779661,0.0275913876838109,18.8,0,59,0.0803410531398484,0.7
"196","14.3","1",0.125,"n",0.11864406779661,0.0286987968668282,20.2,0,59,0.0978008095502685,0.7
"197","15.7","1",0.0892857142857143,"n",0.0847457627118644,0.0299923851564722,21.3,0,59,0.114091832076749,0.7
"198","17.1","1",0.0714285714285714,"n",0.0677966101694915,0.0310732717479978,22.7,0,59,0.132907539610102,0.7
"199","18.6","1",0.0892857142857143,"n",0.0847457627118644,0.0319479910774679,24.2,0,59,0.153070484815024,0.7
"200","20","1",0.0892857142857143,"n",0.0847457627118644,0.0332834484186937,24.7,0,59,0.165163063010278,0.7
"201","7.1","2",0.142857142857143,"n",0.135593220338983,0.0227375362002945,11.8,0,59,0.0294004791312352,0.7
"202","8.5","2",0.142857142857143,"n",0.135593220338983,0.0241515534266627,13.1,0,59,0.0369805814277929,0.7
"203","10","2",0.125,"n",0.11864406779661,0.0256178335639408,14.9,0,59,0.0482766371610033,0.7
"204","11.4","2",0.125,"n",0.11864406779661,0.0269530343797795,17,0,59,0.0638632510449951,0.7
"205","12.8","2",0.107142857142857,"n",0.101694915254237,0.0275913876838109,18.8,0,59,0.0803410531398484,0.7
"206","14.3","2",0.107142857142857,"n",0.101694915254237,0.0286987968668282,20.2,0,59,0.0978008095502685,0.7
"207","15.7","2",0.125,"n",0.11864406779661,0.0299923851564722,21.3,0,59,0.114091832076749,0.7
"208","17.1","2",0.142857142857143,"n",0.135593220338983,0.0310732717479978,22.7,0,59,0.132907539610102,0.7
"209","18.6","2",0.125,"n",0.11864406779661,0.0319479910774679,24.2,0,59,0.153070484815024,0.7
"210","20","2",0.125,"n",0.11864406779661,0.0332834484186937,24.7,0,59,0.165163063010278,0.7
"211","7.1","0",0,"a",0,0.0227375362002945,11.8,0,59,0.0294004791312352,0.7
"212","8.5","0",0,"a",0,0.0241515534266627,13.1,0,59,0.0369805814277929,0.7
"213","10","0",0,"a",0,0.0256178335639408,14.9,0,59,0.0482766371610033,0.7
"214","11.4","0",0,"a",0,0.0269530343797795,17,0,59,0.0638632510449951,0.7
"215","12.8","0",0,"a",0,0.0275913876838109,18.8,0,59,0.0803410531398484,0.7
"216","14.3","0",0,"a",0,0.0286987968668282,20.2,0,59,0.0978008095502685,0.7
"217","15.7","0",0,"a",0,0.0299923851564722,21.3,0,59,0.114091832076749,0.7
"218","17.1","0",0,"a",0,0.0310732717479978,22.7,0,59,0.132907539610102,0.7
"219","18.6","0",0,"a",0,0.0319479910774679,24.2,0,59,0.153070484815024,0.7
"220","20","0",0,"a",0,0.0332834484186937,24.7,0,59,0.165163063010278,0.7
"221","7.1","1",0.333333333333333,"a",0.0169491525423729,0.0227375362002945,11.8,0,59,0.0294004791312352,0.7
"222","8.5","1",0.333333333333333,"a",0.0169491525423729,0.0241515534266627,13.1,0,59,0.0369805814277929,0.7
"223","10","1",0,"a",0,0.0256178335639408,14.9,0,59,0.0482766371610033,0.7
"224","11.4","1",0,"a",0,0.0269530343797795,17,0,59,0.0638632510449951,0.7
"225","12.8","1",0,"a",0,0.0275913876838109,18.8,0,59,0.0803410531398484,0.7
"226","14.3","1",0,"a",0,0.0286987968668282,20.2,0,59,0.0978008095502685,0.7
"227","15.7","1",0,"a",0,0.0299923851564722,21.3,0,59,0.114091832076749,0.7
"228","17.1","1",0.333333333333333,"a",0.0169491525423729,0.0310732717479978,22.7,0,59,0.132907539610102,0.7
"229","18.6","1",0,"a",0,0.0319479910774679,24.2,0,59,0.153070484815024,0.7
"230","20","1",0,"a",0,0.0332834484186937,24.7,0,59,0.165163063010278,0.7
"231","7.1","2",0.666666666666667,"a",0.0338983050847458,0.0227375362002945,11.8,0,59,0.0294004791312352,0.7
"232","8.5","2",0.666666666666667,"a",0.0338983050847458,0.0241515534266627,13.1,0,59,0.0369805814277929,0.7
"233","10","2",1,"a",0.0508474576271186,0.0256178335639408,14.9,0,59,0.0482766371610033,0.7
"234","11.4","2",1,"a",0.0508474576271186,0.0269530343797795,17,0,59,0.0638632510449951,0.7
"235","12.8","2",1,"a",0.0508474576271186,0.0275913876838109,18.8,0,59,0.0803410531398484,0.7
"236","14.3","2",1,"a",0.0508474576271186,0.0286987968668282,20.2,0,59,0.0978008095502685,0.7
"237","15.7","2",1,"a",0.0508474576271186,0.0299923851564722,21.3,0,59,0.114091832076749,0.7
"238","17.1","2",0.666666666666667,"a",0.0338983050847458,0.0310732717479978,22.7,0,59,0.132907539610102,0.7
"239","18.6","2",1,"a",0.0508474576271186,0.0319479910774679,24.2,0,59,0.153070484815024,0.7
"240","20","2",1,"a",0.0508474576271186,0.0332834484186937,24.7,0,59,0.165163063010278,0.7
"241","7.1","0",0.785714285714286,"n",0.745762711864407,0.0084284121346234,11.8,0,59,0.0294004791312352,0.9
"242","8.5","0",0.785714285714286,"n",0.745762711864407,0.00909810722318621,13.1,0,59,0.0369805814277929,0.9
"243","10","0",0.625,"n",0.571428571428571,0.0572551048029927,5.9,15.7,35,0.0814639981687056,0.9
"244","11.4","0",0.6,"n",0.545454545454545,0.0696685576054971,6,19.1,33,0.112063315447455,0.9
"245","12.8","0",0.586206896551724,"n",0.53125,0.0775060569573638,6.2,21.4,32,0.138634548269411,0.9
"246","14.3","0",0.6,"n",0.545454545454545,0.0736672008788986,6.9,22.1,33,0.159795195955586,0.9
"247","15.7","0",0.785714285714286,"n",0.745762711864407,0.0120848113762783,21.1,0,59,0.112756290261972,0.9
"248","17.1","0",0.785714285714286,"n",0.745762711864407,0.0125284125605853,22.7,0,59,0.132907539610102,0.9
"249","18.6","0",0.785714285714286,"n",0.745762711864407,0.0134571548607866,23.4,0,59,0.147605906669966,0.9
"250","20","0",0.785714285714286,"n",0.745762711864407,0.0137360523000521,24.5,0,59,0.163837334838488,0.9
"251","7.1","1",0.0714285714285714,"n",0.0677966101694915,0.0084284121346234,11.8,0,59,0.0294004791312352,0.9
"252","8.5","1",0.0714285714285714,"n",0.0677966101694915,0.00909810722318621,13.1,0,59,0.0369805814277929,0.9
"253","10","1",0.15625,"n",0.142857142857143,0.0572551048029927,5.9,15.7,35,0.0814639981687056,0.9
"254","11.4","1",0.166666666666667,"n",0.151515151515152,0.0696685576054971,6,19.1,33,0.112063315447455,0.9
"255","12.8","1",0.172413793103448,"n",0.15625,0.0775060569573638,6.2,21.4,32,0.138634548269411,0.9
"256","14.3","1",0.133333333333333,"n",0.121212121212121,0.0736672008788986,6.9,22.1,33,0.159795195955586,0.9
"257","15.7","1",0.0892857142857143,"n",0.0847457627118644,0.0120848113762783,21.1,0,59,0.112756290261972,0.9
"258","17.1","1",0.0714285714285714,"n",0.0677966101694915,0.0125284125605853,22.7,0,59,0.132907539610102,0.9
"259","18.6","1",0.0892857142857143,"n",0.0847457627118644,0.0134571548607866,23.4,0,59,0.147605906669966,0.9
"260","20","1",0.0892857142857143,"n",0.0847457627118644,0.0137360523000521,24.5,0,59,0.163837334838488,0.9
"261","7.1","2",0.142857142857143,"n",0.135593220338983,0.0084284121346234,11.8,0,59,0.0294004791312352,0.9
"262","8.5","2",0.142857142857143,"n",0.135593220338983,0.00909810722318621,13.1,0,59,0.0369805814277929,0.9
"263","10","2",0.21875,"n",0.2,0.0572551048029927,5.9,15.7,35,0.0814639981687056,0.9
"264","11.4","2",0.233333333333333,"n",0.212121212121212,0.0696685576054971,6,19.1,33,0.112063315447455,0.9
"265","12.8","2",0.241379310344828,"n",0.21875,0.0775060569573638,6.2,21.4,32,0.138634548269411,0.9
